flow [gpm]	head [ft]	speed [Hz]
26.177	222.225	65.000
26.606	221.591	65.000
27.035	220.923	65.000
27.464	220.219	65.000
27.893	219.478	65.000
28.322	218.699	65.000
28.752	217.880	65.000
29.181	217.021	65.000
29.610	216.118	65.000
30.039	215.172	65.000
30.468	214.180	65.000
30.897	213.142	65.000
31.326	212.055	65.000
31.755	210.918	65.000
32.185	209.730	65.000
32.614	208.489	65.000
33.043	207.193	65.000
33.472	205.840	65.000
33.901	204.430	65.000
34.330	202.960	65.000
34.759	201.428	65.000
35.188	199.833	65.000
35.618	198.173	65.000
36.047	196.446	65.000
36.476	194.651	65.000
36.905	192.785	65.000
37.334	190.846	65.000
37.763	188.833	65.000
38.192	186.743	65.000
38.622	184.575	65.000
39.051	182.327	65.000
39.480	179.996	65.000
39.909	177.581	65.000
40.338	175.079	65.000
40.767	172.488	65.000
41.196	169.806	65.000
41.625	167.032	65.000
42.055	164.161	65.000
42.484	161.193	65.000
0.000	196.847	60.000
0.396	196.847	60.000
0.792	196.847	60.000
1.188	196.847	60.000
1.584	196.847	60.000
1.981	196.847	60.000
2.377	196.847	60.000
2.773	196.847	60.000
3.169	196.846	60.000
3.565	196.845	60.000
3.961	196.844	60.000
4.357	196.842	60.000
4.753	196.840	60.000
5.150	196.837	60.000
5.546	196.834	60.000
5.942	196.829	60.000
6.338	196.823	60.000
6.734	196.816	60.000
7.130	196.807	60.000
7.526	196.796	60.000
7.922	196.784	60.000
8.318	196.769	60.000
8.715	196.752	60.000
9.111	196.732	60.000
9.507	196.709	60.000
9.903	196.682	60.000
10.299	196.652	60.000
10.695	196.618	60.000
11.091	196.579	60.000
11.487	196.536	60.000
11.884	196.487	60.000
12.280	196.433	60.000
12.676	196.373	60.000
13.072	196.306	60.000
13.468	196.232	60.000
13.864	196.151	60.000
14.260	196.062	60.000
14.656	195.964	60.000
15.052	195.858	60.000
15.449	195.741	60.000
15.845	195.615	60.000
16.241	195.478	60.000
16.637	195.329	60.000
17.033	195.168	60.000
17.429	194.994	60.000
17.825	194.807	60.000
18.221	194.606	60.000
18.618	194.390	60.000
19.014	194.159	60.000
19.410	193.911	60.000
19.806	193.646	60.000
20.202	193.363	60.000
20.598	193.061	60.000
20.994	192.739	60.000
21.390	192.397	60.000
21.786	192.034	60.000
22.183	191.648	60.000
22.579	191.239	60.000
22.975	190.806	60.000
23.371	190.348	60.000
23.767	189.863	60.000
24.163	189.351	60.000
24.559	188.811	60.000
24.955	188.242	60.000
25.352	187.642	60.000
25.748	187.011	60.000
26.144	186.347	60.000
26.540	185.650	60.000
26.936	184.917	60.000
27.332	184.148	60.000
27.728	183.342	60.000
28.124	182.497	60.000
28.520	181.612	60.000
28.917	180.686	60.000
29.313	179.717	60.000
29.709	178.705	60.000
30.105	177.647	60.000
30.501	176.543	60.000
30.897	175.391	60.000
31.293	174.189	60.000
31.689	172.936	60.000
32.086	171.631	60.000
32.482	170.272	60.000
32.878	168.858	60.000
33.274	167.386	60.000
33.670	165.856	60.000
34.066	164.266	60.000
34.462	162.614	60.000
34.858	160.899	60.000
35.255	159.118	60.000
35.651	157.271	60.000
36.047	155.356	60.000
36.443	153.370	60.000
36.839	151.312	60.000
37.235	149.180	60.000
37.631	146.972	60.000
38.027	144.687	60.000
38.423	142.323	60.000
38.820	139.877	60.000
39.216	137.348	60.000
0.000	165.406	55.000
0.363	165.406	55.000
0.726	165.406	55.000
1.089	165.406	55.000
1.452	165.406	55.000
1.816	165.406	55.000
2.179	165.406	55.000
2.542	165.406	55.000
2.905	165.405	55.000
3.268	165.405	55.000
3.631	165.404	55.000
3.994	165.402	55.000
4.357	165.400	55.000
4.720	165.398	55.000
5.084	165.395	55.000
5.447	165.391	55.000
5.810	165.386	55.000
6.173	165.380	55.000
6.536	165.372	55.000
6.899	165.364	55.000
7.262	165.353	55.000
7.625	165.341	55.000
7.988	165.326	55.000
8.351	165.309	55.000
8.715	165.290	55.000
9.078	165.268	55.000
9.441	165.242	55.000
9.804	165.214	55.000
10.167	165.181	55.000
10.530	165.145	55.000
10.893	165.104	55.000
11.256	165.058	55.000
11.619	165.008	55.000
11.983	164.952	55.000
12.346	164.890	55.000
12.709	164.822	55.000
13.072	164.747	55.000
13.435	164.665	55.000
13.798	164.575	55.000
14.161	164.477	55.000
14.524	164.371	55.000
14.887	164.255	55.000
15.251	164.130	55.000
15.614	163.995	55.000
15.977	163.849	55.000
16.340	163.692	55.000
16.703	163.523	55.000
17.066	163.342	55.000
17.429	163.147	55.000
17.792	162.939	55.000
18.155	162.716	55.000
18.519	162.478	55.000
18.882	162.225	55.000
19.245	161.955	55.000
19.608	161.667	55.000
19.971	161.362	55.000
20.334	161.038	55.000
20.697	160.694	55.000
21.060	160.330	55.000
21.423	159.945	55.000
21.786	159.538	55.000
22.150	159.108	55.000
22.513	158.654	55.000
22.876	158.176	55.000
23.239	157.672	55.000
23.602	157.141	55.000
23.965	156.583	55.000
24.328	155.997	55.000
24.691	155.382	55.000
25.054	154.736	55.000
25.418	154.058	55.000
25.781	153.348	55.000
26.144	152.605	55.000
26.507	151.826	55.000
